,D_NO_PRED,D_NO_TRUE,D_NO2_PRED,D_NO2_TRUE,D_PM10_PRED,D_PM10_TRUE,N_NO_PRED,N_NO_TRUE,N_NO2_PRED,N_NO2_TRUE,N_Ox_PRED,N_Ox_TRUE,N_O3_PRED,N_O3_TRUE,N_PM10_PRED,N_PM10_TRUE,O_NO_PRED,O_NO_TRUE,O_NO2_PRED,O_NO2_TRUE,O_PM10_PRED,O_PM10_TRUE,S_NO_PRED,S_NO_TRUE,S_NO2_PRED,S_NO2_TRUE,S_Ox_PRED,S_Ox_TRUE,S_O3_PRED,S_O3_TRUE,S_PM10_PRED,S_PM10_TRUE,W_NO_PRED,W_NO_TRUE,W_NO2_PRED,W_NO2_TRUE,W_PM10_PRED,W_PM10_TRUE
2020-01-03 00:00:00,179.31856382441256,149.4827,72.2149504754703,56.696456999999995,61.13684873102565,51.521755,50.35597109414306,23.94473,48.59572254186651,39.334070000000004,57.95014581157434,48.952038,8.381117904243023,9.617968,34.85750955172788,30.923414,84.98981813556674,69.61164000000001,52.99142912131146,44.132984,50.97201630729979,46.388459999999995,138.5854652769152,127.765305,56.37656692021692,42.72917,66.09656504150519,46.26652180000001,4.3231678623264385,3.5373517999999997,62.63566737476049,56.982330000000005,73.62557642648152,68.96669,53.16072027586836,41.950268,47.980798010066664,45.637370000000004
2020-01-04 00:00:00,192.0969120855961,201.86283999999998,71.6538100984532,66.76679,62.58473057471789,52.611362,55.54247842551096,47.548733,47.98629879795115,43.03236,54.82250169654313,49.6503376,7.962647711949601,6.6179776,38.461176443312596,34.16807,93.74733366113338,80.3438,51.23091319446725,47.897724,51.392785120407645,37.184284000000005,142.63137664451352,164.57578,55.97678842928993,48.308884,60.088308489887005,49.5306214,4.30378936305965,1.2217374,67.93877156513406,57.270626,84.5288221137654,90.75924,52.983480820770296,49.09033,50.63145073896661,38.993320000000004
2020-01-05 00:00:00,84.93621937305733,123.44113999999999,62.3490080162932,52.037859999999995,41.30857465933334,40.98976,24.436237334213846,43.761047,40.48919055752559,35.74735,54.34811165109047,56.448545,13.515216483154761,20.701195000000002,28.081236189664036,28.522641999999998,46.958180336599966,55.09021800000001,47.45975376844261,42.12787,41.246910820089056,35.905117,68.26543243685302,104.96646000000001,47.88683839161738,39.910446,59.21924475510898,44.7039946,10.477305315023182,4.793548599999999,46.89820985498084,51.025585,33.79742950975309,70.73845,44.74609815518911,42.618286,32.61830643938334,38.22685
2020-01-06 00:00:00,35.656122084943384,20.640348,37.099275174896036,32.097057,24.24548191646155,16.188208,5.108461103332936,0.87367994,15.585920451773028,13.998879999999998,66.30121883500622,69.536863,47.35122502587697,55.537983,15.997645815328386,7.430358999999999,12.171555175800002,2.9938542999999997,24.15928064651638,21.19696,24.297220620138898,16.606459,16.82751444306418,6.429479,22.86374976454635,20.614932999999997,67.21168359923325,66.742989,42.901737651255196,46.128056,20.166739051340997,13.068683,9.256250401174075,2.1271150000000003,18.91730004313725,17.250006,17.883839064749996,12.079635000000001
2020-01-07 00:00:00,111.73716794743245,49.834843,66.19863094368917,49.63948,49.007625884974324,29.436284999999998,32.380285607114786,4.461232,44.95824563234837,30.543589,60.177446358010556,53.053993999999996,15.216702677049911,22.510405,34.07867382693221,19.976086,56.90319753209998,17.482567,49.56686435758196,37.69271,46.877698628244964,30.604795000000003,86.57992189316768,41.744762,51.747164329240576,36.684886999999996,65.36374833345843,50.433712,10.87732209229064,13.748825,48.834335101532545,32.939518,46.15222332222226,15.019895000000002,48.07424954333338,37.704322999999995,41.79692058633332,25.352188
2020-01-08 00:00:00,131.14432103307223,159.33142,69.45958879743615,64.12843000000001,58.23140094087176,53.685145999999996,42.89487992067609,57.206230000000005,48.82664279625693,44.953682,58.64376891621598,49.827115,9.291737773756644,4.873433,36.86284635427272,36.821315999999996,64.60528916800004,76.36454,53.112665556967194,49.06305,47.45766647228687,53.981754,99.10519499710145,156.9123,56.6189204899901,51.383633,65.78907037625092,53.8219434,5.866828871866584,2.4383103999999998,59.85838742313218,58.984269999999995,60.60789500611107,72.04359000000001,52.5854069827311,48.599033,48.17632744753337,44.888523
2020-01-09 00:00:00,118.09455150047866,170.93782,64.83045242324181,64.87026,50.61186521712817,48.381896999999995,39.54261975364442,51.966457,44.852833500748616,44.594982,58.408447380232005,49.308564,10.903385703326702,4.713582,35.29764123060295,35.41299,59.79163976326664,87.60087,48.68390017363389,51.32696,46.346774566503875,46.789978000000005,98.88275332028986,177.47025,50.81020472919133,52.263424,64.08552045902744,54.37495620000001,7.50784055402561,2.1115322,50.96908547844833,57.865140000000004,52.121125767469145,94.224464,47.67520296946079,49.558234999999996,40.29756386050005,44.134921999999996
2020-01-10 00:00:00,130.8996423896867,163.49233999999998,69.62713184625895,66.33663,53.6469804531795,67.240555,46.75486347170931,72.86865,47.0577520780536,49.650459999999995,55.91370673505411,54.15479000000001,10.140084708828258,4.50433,31.542338115879453,48.367977,68.16320405969047,96.50112,52.566001385655724,54.775130000000004,50.07237804126623,73.73369,92.65820705186339,132.31711,52.734743334023676,51.554615000000005,65.1898315375706,53.4900743,6.416936284042275,1.9354593,55.578734377538304,64.95553000000001,59.44690380401231,102.17607,50.628432348529415,53.51138,38.74109008056666,57.298016000000004
2020-01-11 00:00:00,152.83588089995652,154.74074,66.90400779131821,61.825607,50.87891168661534,53.2289,47.04686977922562,50.4801,45.608326074665094,42.477493,54.28148109823316,47.991822,7.598409059898764,5.514329,32.176203957812,42.885498,70.4842570758667,70.94099399999999,47.73068938668033,48.775234000000005,46.920325241886715,51.62097,118.86119147619048,159.93748,53.055641780374785,50.124207,60.83476007350084,53.270624100000006,4.812667455118169,3.1464171000000003,57.80585227921453,64.31597,68.97468611314812,81.46451,48.778508869607826,47.0037,39.17481467086667,45.110165
2020-01-12 00:00:00,84.80037136836386,94.81347,57.08970948580266,51.574104,35.76026807202565,40.723354,12.805197866338455,23.787746,34.9280262942418,31.092014000000002,56.41846213901871,54.003812,23.431690395604,22.911798,24.294931805557656,25.634468,44.85305988963329,39.444946,46.52567661154373,37.272090000000006,38.546503760001784,40.849026,67.76237360527949,83.056076,45.331633086439844,36.98433,62.99062747311139,48.950817,17.160603189131578,11.966486999999999,39.37506557476054,50.168533000000004,29.138873690370378,39.67494,40.11726331168068,36.511223,29.419426223533296,32.491646
